run	solution_id	CT	LoadSTD	QLoss	station_loads	station_assignment	tool_assignment
1	11	496.8	74.020052	0.172605	[290.00,450.00,323.60,369.50,324.80,496.80]	[3,2,2,3,3,4,4,4,4,3,0,3,3,0,0,2,3,0,1,2,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	12	496.8	98.859773	0.168197	[290.00,450.00,231.20,463.10,324.80,496.80]	[3,3,3,3,3,4,4,4,4,2,0,3,3,0,0,2,3,0,1,3,4,5,5,5]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	13	496.8	88.69018	0.169596	[290.00,450.00,286.20,439.50,288.60,496.80]	[3,3,2,3,3,3,4,4,4,2,0,3,3,0,0,2,3,0,1,3,4,5,5,5]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	14	496.8	73.930388	0.172994	[290.00,450.00,324.20,371.00,324.80,496.80]	[2,2,3,3,3,4,4,4,4,3,0,3,3,0,0,2,3,0,1,2,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	15	496.8	73.125888	0.173084	[290.00,450.00,352.40,338.00,324.80,496.80]	[3,3,3,3,3,4,4,4,4,2,0,2,3,0,0,2,3,0,1,2,4,5,5,5]	[0,0,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	16	496.8	93.830515	0.168463	[290.00,450.00,272.40,459.60,288.60,496.80]	[3,3,3,3,3,3,4,4,4,2,0,3,3,0,0,2,3,0,1,2,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	17	496.8	120.980528	0.166614	[290.00,450.00,160.00,492.50,364.80,496.80]	[3,3,3,3,3,4,4,4,4,3,0,3,3,0,0,2,3,0,1,4,4,5,5,5]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	18	496.8	80.114052	0.170025	[290.00,450.00,286.20,403.10,328.60,496.80]	[3,3,2,3,3,3,4,4,4,2,0,3,3,0,0,2,3,0,1,4,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	19	496.8	72.859006	0.173607	[290.00,450.00,338.60,327.70,350.40,496.80]	[3,2,3,3,3,3,3,4,4,2,0,4,4,0,0,2,3,0,1,2,4,5,5,5]	[0,1,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
1	20	524.5	121.192305	0.165673	[290.00,450.00,200.00,524.50,288.60,496.80]	[3,3,3,3,3,3,4,4,4,3,0,3,3,0,0,2,3,0,1,2,4,5,5,5]	[0,1,1,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
