run	idx_in_front	CT	LoadSTD	QLoss	station_loads	station_assignment	tool_assignment
17	2	475	60.993071	0.175595	[342.50,323.60,475.00,340.40,450.00,332.20]	[1,5,3,3,5,0,2,1,3,0,0,5,1,0,5,3,0,1,4,3,5,2,5,0]	[0,0,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	3	545.4	176.403915	0.161581	[421.30,266.80,475.00,545.40,510.00,35.00]	[3,3,3,3,3,0,2,1,3,0,0,0,1,0,4,3,0,1,4,3,5,2,3,0]	[0,0,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	4	510	164.277777	0.163162	[421.30,323.60,475.00,490.40,510.00,35.00]	[1,3,3,3,3,0,2,1,3,0,0,0,1,0,4,3,0,1,4,3,5,2,3,0]	[0,0,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	5	541.8	140.154015	0.164059	[337.70,268.60,475.00,541.80,485.00,140.00]	[3,3,3,3,3,0,2,1,3,0,0,5,1,0,5,3,0,1,4,3,4,2,3,0]	[0,0,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	6	501.8	130.669359	0.165225	[417.70,268.60,475.00,501.80,450.00,135.00]	[3,3,3,3,3,0,2,1,3,0,0,0,1,0,5,3,0,1,4,3,5,2,5,0]	[0,0,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	7	488.6	125.256346	0.16564	[342.20,321.80,475.00,488.60,485.00,140.00]	[1,3,3,3,3,0,2,1,3,0,0,5,1,0,5,3,0,1,4,3,4,2,3,0]	[0,0,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	8	485	145.136079	0.164756	[417.70,378.60,475.00,431.80,485.00,60.00]	[1,3,1,3,3,0,2,1,3,0,0,0,1,0,5,3,0,1,4,3,4,2,3,0]	[0,0,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	9	475	80.366134	0.170024	[342.80,323.60,475.00,421.80,450.00,243.60]	[1,5,3,3,3,0,2,1,3,0,0,5,1,0,5,3,0,1,4,3,5,2,3,0]	[0,0,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	10	475	66.833535	0.173173	[342.50,323.60,475.00,380.40,450.00,288.60]	[3,5,1,3,5,0,2,1,3,0,0,5,1,0,5,3,0,1,4,3,5,2,3,0]	[0,0,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	11	475	75.233114	0.171605	[342.50,376.80,475.00,370.40,450.00,243.60]	[1,5,1,3,3,0,2,1,3,0,0,5,1,0,5,3,0,1,4,3,5,2,3,0]	[0,0,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	12	476.8	96.579819	0.168443	[337.70,268.60,475.00,476.80,450.00,243.60]	[3,5,3,3,3,0,2,1,3,0,0,5,1,0,5,3,0,1,4,3,5,2,3,0]	[0,0,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	13	475	91.375519	0.169271	[342.20,323.60,475.00,446.80,450.00,215.00]	[3,3,1,3,3,0,2,1,3,0,0,5,1,0,5,3,0,1,4,3,5,2,5,0]	[0,0,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
17	14	486.8	109.663796	0.166848	[337.70,323.60,475.00,486.80,450.00,175.00]	[1,3,3,3,3,0,2,1,3,0,0,5,1,0,5,3,0,1,4,3,5,2,3,0]	[0,0,0,0,0,1,2,0,0,1,2,2,0,2,2,2,0,2,2,2,2,2,2,0]
